CUENTA,IDV,Nom_Comarca_cat_mapa,Codi_Comarca_Cat,DES_MARCA,DES_MODELO,Antigüedad en años desde matriculación
79742,147513,,,EJEMPLO,1.2DIG-T 115CV 2WD CVT N-CONNECTA,
91532,107485,,,EJEMPLO,1.2DIG-T 115CV 2WD MT N-CONNECTA RUEDA DE REPUESTO,8
7479,562572,,,EJEMPLO,1.3DIG-T 160CV 2WD CVT MHEV E6D-F,1
7479,562573,,,EJEMPLO,1.3DIG-T 160CV 2WD CVT MHEV E6D-F,1
168799,86978,,,EJEMPLO,1.5 DCI 2WD MT N-TEC,11
60621,87821,,,NISSAN,1.5 DCI 2WD MT N-TEC,
120,582542,,,NISSAN,1.5 E-POWER 204CV 2WD,
120,582543,,,NISSAN,1.5 E-POWER 204CV 2WD,
120,582604,,,NISSAN,1.5 E-POWER 204CV 2WD,
120,582605,,,NISSAN,1.5 E-POWER 204CV 2WD,
163362,582609,,,NISSAN,1.5 E-POWER 204CV 2WD,
60042,562180,,,NISSAN,1.5 E-POWER 204CV 2WD,
56144,91585,,,NISSAN,"1.5D 2WD MT TEKNA 19""PIEL",
60636,150141,,,NISSAN,1.5DCI 110CV 2WD MT ACENTA RUEDA REPUESTO,
7479,149499,,,NISSAN,1.5DCI 110CV 2WD MT N-CONNECTA,7
7479,153089,,,NISSAN,1.5DCI 110CV 2WD MT N-CONNECTA,
77670,150130,,,NISSAN,1.5DCI 110CV 2WD MT N-CONNECTA TECHO + BARRAS RUEDA REPUESTO,
56251,148120,,,NISSAN,1.6DCI 130CV 2WD CVT TEKNA,
7479,150597,,,NISSAN,1.6DCI 130CV 2WD CVT TEKNA TECHO CRISTAL BOSE,7
7479,147155,,,NISSAN,1.6DCI 130CV 2WD MT N-CONNECTA,
200964,248508,,,NISSAN,100,25
6960,168061,,,NISSAN,100,
87946,567868,,,EJEMPLO,2.3 DCI N-CONNECTA,5
66040,78375,,,NISSAN,200,13
7479,257411,,,NISSAN,200,12
96518,145577,,,NISSAN,200 SX,24
117525,216061,,,NISSAN,300,3
7568,216147,,,EJEMPLO,300,
449831,567582,,,NISSAN,370Z,6
435604,213325,,,NISSAN,370Z 3.7 V6 241KW GT AUTO 328 3P,5
56251,165848,,,NISSAN,"370Z COUPE 3.7G 328CV LLANTAS 19"" NAV BOSE PINTURA ANTI SCRATCH MAN",
87946,164422,,,NISSAN,ACENTA 4X4,17
100535,128182,,,NISSAN,ALMERA,22
100644,129681,,,NISSAN,ALMERA,24
100741,127027,,,NISSAN,ALMERA,20
100789,124811,,,NISSAN,ALMERA,21
100826,140324,,,NISSAN,ALMERA,24
101073,122306,,,NISSAN,ALMERA,23
101073,137926,,,NISSAN,ALMERA,25
101606,126050,,,NISSAN,ALMERA,21
101772,133831,,,NISSAN,ALMERA,24
102629,114874,,,NISSAN,ALMERA,21
102901,120012,,,NISSAN,ALMERA,23
103119,122908,,,NISSAN,ALMERA,23
104841,144816,,,NISSAN,ALMERA,
105299,116429,,,NISSAN,ALMERA,18
105819,145376,,,NISSAN,ALMERA,25
106197,128908,,,NISSAN,ALMERA,22
107878,124523,,,NISSAN,ALMERA,23
109718,125596,,,NISSAN,ALMERA,24
110072,123014,,,NISSAN,ALMERA,24
110428,123479,,,NISSAN,ALMERA,24
110482,142453,,,NISSAN,ALMERA,24
111139,142464,,,NISSAN,ALMERA,
112883,114411,,,NISSAN,ALMERA,22
113091,118848,,,NISSAN,ALMERA,24
113235,132390,,,NISSAN,ALMERA,25
113363,123475,,,NISSAN,ALMERA,21
113400,116272,,,NISSAN,ALMERA,
114245,114852,,,NISSAN,ALMERA,24
114469,145247,,,NISSAN,ALMERA,15
115337,114421,,,NISSAN,ALMERA,22
115457,125060,,,NISSAN,ALMERA,20
115924,124335,,,NISSAN,ALMERA,21
115971,123417,,,NISSAN,ALMERA,23
116373,123468,,,NISSAN,ALMERA,
118183,146760,,,NISSAN,ALMERA,24
118367,146981,,,NISSAN,ALMERA,21
131331,164258,,,NISSAN,ALMERA,22
131518,164541,,,NISSAN,ALMERA,
132727,166061,,,NISSAN,ALMERA,24
143915,203340,,,NISSAN,ALMERA,16
14412,145107,,,NISSAN,ALMERA,22
159596,203877,,,NISSAN,ALMERA,22
16636,144366,,,NISSAN,ALMERA,24
167830,213915,,,NISSAN,ALMERA,20
182425,221540,,,NISSAN,ALMERA,24
206118,244936,,,NISSAN,ALMERA,27
206279,245583,,,NISSAN,ALMERA,23
207022,485188,,,NISSAN,ALMERA,26
248946,122999,,,NISSAN,ALMERA,21
36380,129087,,,NISSAN,ALMERA,18
375942,482343,,,NISSAN,ALMERA,27
47394,60106,,,NISSAN,ALMERA,24
70025,82969,,,NISSAN,ALMERA,22
70727,83632,,,NISSAN,ALMERA,24
7235,138550,,,NISSAN,ALMERA,25
72720,85934,,,NISSAN,ALMERA,24
7273,118484,,,NISSAN,ALMERA,24
7358,126580,,,NISSAN,ALMERA,21
7365,127485,,,NISSAN,ALMERA,24
7376,114897,,,NISSAN,ALMERA,
75308,89166,,,NISSAN,ALMERA,24
7568,122310,,,NISSAN,ALMERA,18
75904,89709,,,NISSAN,ALMERA,
75979,126972,,,NISSAN,ALMERA,22
7645,116879,,,NISSAN,ALMERA,18
7645,121050,,,NISSAN,ALMERA,21
7645,125792,,,NISSAN,ALMERA,22
7645,125826,,,NISSAN,ALMERA,22
7645,129703,,,NISSAN,ALMERA,22
7645,129919,,,NISSAN,ALMERA,22
7645,131386,,,NISSAN,ALMERA,26
